id;first_name;last_name;license_date
1;Marsha;Hills;2026-06-10
2;Jon;Donnelly;2026-06-10
3;Nancy;Huel;2026-06-11
4;Misty;Stracke;2026-06-10
5;Francisco;Jacobi;2026-06-11
6;Pete;Ritchie;2026-06-11
7;Iris;Dooley;2026-06-11
8;Jasmin;Mosciski;2026-06-11
9;Wilson;Shanahan;2026-06-11
10;Jerad;Haley;2026-06-11
11;Major;White;2026-06-11
12;Raegan;Treutel;2026-06-11
13;Lizeth;Brown;2026-06-10
14;Maryann;Jacobs;2026-06-11
15;Melanie;Corwin;2026-06-11
16;Kelley;Nader;2026-06-10
17;Homer;Purdy;2026-06-10
18;Tara;Weimann;2026-06-10
19;Ricardo;Fisher;2026-06-10
20;Hilda;Koelpin-Romaguera;2026-06-11
21;Katlyn;Purdy;2026-06-11
22;Jackson;Simonis;2026-06-11
23;Robb;Berge;2026-06-11
24;Victor;Fay-Schulist;2026-06-11
25;Myra;Schaden;2026-06-11
26;Moses;Hilll;2026-06-11
27;Juliana;Douglas;2026-06-11
28;Dennis;Feest;2026-06-11
29;Terence;Jones;2026-06-11
30;Jairo;Collins;2026-06-10
